Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:36 Mem:134.86M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_abdomen
Fra:36 Mem:134.91M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_body
Fra:36 Mem:134.97M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_L
Fra:36 Mem:134.98M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_R
Fra:36 Mem:134.99M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_dot_src
Fra:36 Mem:135.11M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_swarm
Fra:36 Mem:134.92M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_ff_practical
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_sun
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_moon
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_0
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_1
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_char_fill
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_rim
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_fill
Fra:36 Mem:134.93M (Peak 135.28M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_robot_key
Fra:36 Mem:135.69M (Peak 135.69M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head
Fra:36 Mem:135.97M (Peak 135.97M) | Time:00:00.21 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_antenna
Fra:36 Mem:138.88M (Peak 138.88M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TWIG_A
Fra:36 Mem:138.92M (Peak 138.92M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TWIG_B
Fra:36 Mem:139.51M (Peak 139.51M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head_hatch
Fra:36 Mem:139.53M (Peak 139.53M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head_seam
Fra:36 Mem:139.53M (Peak 139.53M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_rim_L
Fra:36 Mem:139.55M (Peak 139.55M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_L
Fra:36 Mem:139.60M (Peak 139.60M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_iris_L
Fra:36 Mem:139.62M (Peak 139.62M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_rim_R
Fra:36 Mem:139.64M (Peak 139.64M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_R
Fra:36 Mem:139.69M (Peak 139.69M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_iris_R
Fra:36 Mem:139.71M (Peak 139.71M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_antenna_tip
Fra:36 Mem:139.72M (Peak 139.72M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_torso
Fra:36 Mem:139.74M (Peak 139.74M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_torso_panel
Fra:36 Mem:139.74M (Peak 139.74M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_rivets
Fra:36 Mem:139.79M (Peak 139.79M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_vents
Fra:36 Mem:139.80M (Peak 139.80M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_neck
Fra:36 Mem:139.80M (Peak 139.80M) | Time:00:00.22 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_shoulder_L
