Read blend: "/home/user/liuflexrobo/GLIMMER/blend/final/GLIMMER_master.blend"
Fra:193 Mem:134.86M (Peak 134.86M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_abdomen
Fra:193 Mem:134.94M (Peak 134.94M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_body
Fra:193 Mem:135.02M (Peak 135.02M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_L
Fra:193 Mem:135.04M (Peak 135.04M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_001_wing_R
Fra:193 Mem:135.05M (Peak 135.05M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_dot_src
Fra:193 Mem:135.11M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | FX_010_swarm
Fra:193 Mem:134.92M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_ff_practical
Fra:193 Mem:134.92M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_sun
Fra:193 Mem:134.92M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_moon
Fra:193 Mem:134.93M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_0
Fra:193 Mem:134.93M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_shaft_1
Fra:193 Mem:134.93M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_char_fill
Fra:193 Mem:134.93M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_rim
Fra:193 Mem:134.93M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_night_fill
Fra:193 Mem:134.93M (Peak 135.11M) | Time:00:00.20 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LIGHT_robot_key
Fra:193 Mem:135.69M (Peak 135.69M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head
Fra:193 Mem:135.97M (Peak 135.97M) | Time:00:00.25 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_antenna
Fra:193 Mem:138.88M (Peak 138.88M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TWIG_A
Fra:193 Mem:138.92M (Peak 138.92M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TWIG_B
Fra:193 Mem:139.52M (Peak 139.52M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head_hatch
Fra:193 Mem:139.53M (Peak 139.53M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_head_seam
Fra:193 Mem:139.53M (Peak 139.53M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_rim_L
Fra:193 Mem:139.55M (Peak 139.55M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_L
Fra:193 Mem:139.60M (Peak 139.60M) | Time:00:00.26 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_iris_L
Fra:193 Mem:139.62M (Peak 139.62M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_rim_R
Fra:193 Mem:139.64M (Peak 139.64M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_eye_R
Fra:193 Mem:139.69M (Peak 139.69M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_iris_R
Fra:193 Mem:139.71M (Peak 139.71M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_antenna_tip
Fra:193 Mem:139.70M (Peak 139.71M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_torso
Fra:193 Mem:139.72M (Peak 139.72M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_torso_panel
Fra:193 Mem:139.81M (Peak 139.81M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_rivets
Fra:193 Mem:140.09M (Peak 140.09M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CHAR_001_vents
